lng,lat,heatwave,seamask,xd,yd,ddis,sst,anom,sst_dis,td_flag
-179.875,-59.625,1,,179.875,-60.125,57.3211977430152,5.10366678237915,0.775321662425995,4.26233339309692,TRUE
-179.875,-59.375,1,,179.625,-59.875,62.3007317196347,5.28933334350586,0.7259481549263,4.55166673660278,TRUE
-179.875,-56.125,1,,179.875,-56.375,31.8007547267872,8.19033336639404,0.792414426803589,7.21199989318848,TRUE
-179.875,-55.875,1,,179.625,-56.125,41.7051974971649,8.6046667098999,0.895177721977234,7.62933301925659,TRUE
-179.875,-55.625,1,,179.875,-56.125,57.7431644378739,8.86199951171875,0.935484230518341,7.92533302307129,TRUE
-179.875,-55.375,1,,179.375,-55.875,72.8563656189226,8.99699974060059,0.913316965103149,8.08099937438965,TRUE
-179.875,-55.125,1,,179.375,-55.875,95.8432104677536,9.06433296203613,0.861185908317566,8.08099937438965,TRUE
-179.875,-54.875,1,,178.625,-54.875,95.9642001385647,9.10499954223633,0.802442073822022,8.29166603088379,TRUE
-179.875,-54.625,1,,178.875,-54.375,85.3655743664255,9.22866630554199,0.85659784078598,8.3043327331543,TRUE
-179.875,-54.375,1,,178.875,-54.375,80.9596451034716,9.39799976348877,0.975930094718933,8.3043327331543,TRUE
-179.875,-54.125,1,,179.125,-53.875,71.0240652734191,9.4689998626709,0.999776482582092,8.46066665649414,TRUE
-179.875,-53.875,1,,179.125,-53.875,65.5542986424685,9.31666660308838,0.788109421730042,8.46066665649414,TRUE
-179.875,-52.625,1,,179.625,-53.125,64.9387865553058,9.87099933624268,0.961046099662781,8.87233352661133,TRUE
-179.875,-52.375,1,,179.875,-53.125,85.076600458624,10.2313327789307,1.24335777759552,8.93633270263672,TRUE
-179.875,-52.125,1,,-179.875,-53.125,111.194926644548,10.3199996948242,1.25622951984406,8.99666690826416,TRUE
-179.875,-51.875,1,,179.125,-52.875,130.275468182769,10.2416667938232,1.12184488773346,9.10133266448975,TRUE
-179.875,-51.625,1,,178.125,-51.375,141.199491699854,10.1336660385132,0.976462066173553,9.00933265686035,TRUE
-179.875,-51.375,1,,178.125,-51.375,138.816012489421,10.1053333282471,0.919022262096405,9.00933265686035,TRUE
-179.875,-51.125,1,,178.375,-50.875,125.572384249668,10.1153335571289,0.904413521289825,9.20800018310547,TRUE
-179.875,-50.875,1,,179.125,-50.125,109.348103995164,10.0826663970947,0.843842148780823,9.18400001525879,TRUE
-179.875,-50.625,1,,179.125,-50.125,90.1102980622628,9.97566604614258,0.723641216754913,9.18400001525879,TRUE
-179.875,-50.375,1,,179.125,-50.125,76.3426371556364,9.84999942779541,0.63177478313446,9.18400001525879,TRUE
-179.875,-50.125,1,,179.125,-49.875,76.6895462181031,9.71599960327148,0.600891053676605,9.00466632843018,TRUE
-179.875,-47.125,1,,-179.875,-47.625,55.5974633223451,13.3179998397827,1.26886117458344,11.9379997253418,TRUE
-179.875,-46.875,1,,-179.875,-47.375,55.5974633222641,14.0903329849243,1.53440654277802,12.5409994125366,TRUE
-179.875,-46.625,1,,-179.875,-47.375,83.3961949834346,14.5916662216187,1.70212709903717,12.5409994125366,TRUE
-179.875,-46.375,1,,179.625,-47.125,91.6843255365094,14.7376661300659,1.67280626296997,13.0403327941895,TRUE
-179.875,-46.125,1,,179.875,-47.125,112.821764623603,14.66233253479,1.48192358016968,13.179666519165,TRUE
-179.875,-45.875,1,,179.875,-47.125,140.304443128585,14.607666015625,1.30644500255585,13.179666519165,TRUE
